distance_m,num_walls,num_users,interference_level,frequency_band,signal_strength_dbm,throughput_mbps,latency_ms
38.81,0.0,36,high,5GHz,-71.12,27.46,78.4
22.22,6.0,14,low,2.4GHz,-79.98,11.4,20.69
43.0,3.0,50,medium,5GHz,-87.06,10.2,500.0
35.02,6.0,31,low,5GHz,-95.0,6.17,56.12
5.16,2.0,39,medium,5GHz,-48.47,68.01,76.44
48.79,5.0,18,low,2.4GHz,-81.65,8.25,27.63
38.18,2.0,34,low,5GHz,-78.6,27.54,54.17
39.41,3.0,33,low,2.4GHz,-71.52,13.71,50.22
6.84,2.0,30,high,2.4GHz,-53.78,21.22,51.98
22.79,3.0,30,low,2.4GHz,-65.64,21.98,38.37
18.85,1.0,36,medium,5GHz,-64.69,39.28,64.38
46.37,3.0,50,high,2.4GHz,-81.64,4.96,500.0
32.37,5.0,44,low,5GHz,-93.59,3.98,171.31
41.23,1.0,16,low,2.4GHz,-65.7,27.19,12.43
22.45,5.0,45,medium,5GHz,-91.38,4.61,205.22
11.75,5.0,18,high,5GHz,-83.78,14.39,43.42
27.95,0.0,13,high,2.4GHz,-63.43,25.8,26.61
3.66,4.0,10,low,5GHz,-58.15,125.68,9.1
41.47,3.0,36,high,2.4GHz,-78.66,3.93,79.19
31.77,,24,low,2.4GHz,-74.48,12.38,32.74
38.03,2.0,42,low,5GHz,-79.3,20.23,118.88
18.05,1.0,42,medium,5GHz,-63.54,46.64,114.36
48.55,2.0,27,medium,5GHz,-86.86,6.59,45.29
44.71,1.0,11,low,5GHz,-77.82,50.83,19.13
39.03,2.0,6,medium,5GHz,-81.21,40.56,25.65
10.13,6.0,49,low,2.4GHz,-70.38,5.54,500.0
23.6,5.0,16,low,5GHz,-85.84,21.11,24.63
2.67,1.0,1,high,5GHz,-42.18,386.88,17.96
8.14,3.0,20,medium,2.4GHz,-60.25,,22.32
34.31,0.0,41,low,5GHz,-66.43,46.13,97.69
37.37,0.0,5,medium,5GHz,-66.14,115.03,14.61
48.39,4.0,35,low,5GHz,-94.66,6.16,71.46
16.63,2.0,21,low,5GHz,-68.29,58.24,21.6
18.84,4.0,46,low,2.4GHz,-67.3,18.39,238.16
23.74,1.0,23,high,2.4GHz,-63.21,15.01,39.2
9.88,0.0,27,low,2.4GHz,-48.83,37.53,27.52
6.93,5.0,23,low,2.4GHz,-61.7,20.52,21.37
24.05,1.0,35,medium,5GHz,-72.18,36.38,64.04
11.73,0.0,4,low,2.4GHz,-48.9,82.83,2.94
33.66,5.0,3,low,2.4GHz,-78.22,27.45,11.59
22.14,4.0,30,low,2.4GHz,-68.48,19.93,38.69
41.72,6.0,20,high,2.4GHz,-89.28,2.4,51.84
35.16,4.0,9,low,5GHz,-88.25,18.5,27.3
15.96,3.0,39,low,5GHz,-71.47,33.26,78.21
41.7,4.0,38,medium,2.4GHz,-78.94,4.21,81.46
40.34,5.0,6,low,5GHz,-95.0,5.15,21.65
19.68,4.0,10,low,5GHz,-79.89,36.46,18.86
14.77,2.0,40,medium,5GHz,-71.13,34.86,95.09
34.28,6.0,24,medium,2.4GHz,-82.55,5.86,37.52
7.42,4.0,16,medium,2.4GHz,-56.28,27.3,16.6
10.4,6.0,27,low,2.4GHz,-69.61,16.67,34.48
0.86,3.0,18,low,5GHz,-30.83,172.5,17.72
39.45,3.0,5,low,2.4GHz,-71.96,36.17,14.39
33.41,5.0,33,medium,5GHz,-92.54,3.15,63.51
35.41,4.0,35,medium,5GHz,-91.22,2.04,75.24
39.15,5.0,4,low,5GHz,-95.0,6.73,25.08
23.22,6.0,13,medium,5GHz,-95.0,9.78,32.9
28.65,1.0,32,low,2.4GHz,-60.19,23.61,38.08
7.42,1.0,38,high,5GHz,-55.58,41.99,76.36
6.17,1.0,46,medium,2.4GHz,-44.52,27.44,240.97
33.59,4.0,31,low,2.4GHz,-73.17,20.02,48.73
23.82,5.0,5,low,5GHz,-87.08,27.66,19.69
28.48,6.0,18,low,5GHz,-95.0,3.3,34.39
38.37,0.0,13,low,5GHz,-68.16,70.58,14.95
31.92,0.0,50,low,2.4GHz,-57.16,19.62,500.0
27.9,4.0,1,low,5GHz,-86.99,55.28,15.78
28.18,1.0,19,medium,2.4GHz,-64.01,22.61,23.77
15.55,3.0,26,low,2.4GHz,-61.77,17.46,29.63
2.03,0.0,15,low,2.4GHz,-27.58,70.8,10.65
22.12,0.0,37,low,5GHz,-62.19,51.27,60.5
11.12,3.0,7,low,2.4GHz,-58.59,51.15,8.5
20.72,4.0,47,medium,2.4GHz,-73.0,13.76,327.16
42.74,6.0,21,medium,2.4GHz,-85.56,1.78,36.76
12.08,3.0,19,low,2.4GHz,-59.2,28.3,14.65
3.39,4.0,47,low,2.4GHz,-45.33,29.02,315.14
14.43,6.0,8,high,5GHz,-89.62,,35.53
15.03,3.0,24,low,2.4GHz,-63.07,27.14,24.86
33.26,1.0,2,low,5GHz,-68.32,189.05,11.86
28.07,5.0,26,low,2.4GHz,-77.83,13.35,36.46
39.3,0.0,17,low,2.4GHz,-60.37,32.23,18.63
33.38,1.0,38,medium,2.4GHz,-69.38,12.36,78.58
20.62,0.0,26,medium,2.4GHz,-54.9,25.5,29.91
40.79,4.0,32,low,5GHz,-91.94,5.76,55.79
8.77,1.0,46,low,2.4GHz,-49.62,24.37,232.89
1.62,2.0,48,medium,5GHz,-37.48,83.24,489.38
4.96,4.0,11,low,2.4GHz,-53.96,42.72,9.14
36.26,2.0,26,high,2.4GHz,-71.77,14.82,49.16
23.36,2.0,40,low,2.4GHz,-67.36,11.51,85.67
8.48,3.0,7,high,2.4GHz,-59.94,34.75,20.69
25.3,0.0,25,low,5GHz,-60.69,78.36,24.57
8.04,6.0,28,medium,5GHz,-83.46,19.92,43.72
34.97,6.0,44,low,5GHz,-95.0,0.5,169.78
22.58,4.0,5,high,2.4GHz,-77.94,15.49,25.6
