signal_strength_dbm,throughput_mbps,latency_ms
-82.75,28.35,35.84
-73.38,30.75,35.33
-75.46,7.93,56.36
-66.18,41.92,486.96
-70.31,12.62,494.1
-81.26,11.11,40.15
-72.0,39.25,46.73
-65.11,20.89,13.78
-78.69,13.5,22.13
-56.74,290.83,4.8
-71.3,22.72,30.52
-81.49,97.36,19.74
-69.96,17.84,53.09
-79.62,23.58,17.31
-74.24,31.96,35.89
-95.0,14.83,44.79
-60.63,30.9,13.48
-63.53,74.07,18.41
-92.07,7.41,25.62
-72.68,12.93,72.86
-71.47,12.06,43.89
-95.0,2.43,71.36
-69.6,18.27,26.0
-89.18,0.86,32.9
-76.81,27.2,15.18
-95.0,1.41,500.0
-67.4,18.64,26.3
-79.43,11.95,73.99
-20.0,123.2,230.93
-87.98,18.38,27.98
-59.04,75.99,4.24
-80.32,23.19,37.6
-70.61,9.96,133.9
-67.15,49.34,31.24
-74.36,39.62,23.45
-89.64,0.5,37.89
-66.77,74.41,15.22
-63.92,33.62,15.46
-88.78,6.89,29.68
-79.53,2.93,40.21
-74.4,24.02,18.89
-73.58,7.89,64.13
-61.81,50.63,12.58
-95.0,9.38,37.24
-66.21,71.65,16.58
-50.69,25.25,89.52
-60.95,14.93,500.0
-52.38,53.79,6.8
-64.7,24.55,23.74
-87.96,7.39,115.67
-72.13,40.77,46.69
-85.06,7.99,51.81
-73.43,7.47,500.0
-75.68,26.07,12.03
-51.65,30.1,20.06
-78.69,13.43,22.24
-95.0,0.5,30.11
-87.63,17.75,28.99
-59.63,14.57,77.96
-62.73,46.5,89.17
-83.96,11.27,39.19
-70.0,39.9,41.09
-73.81,79.7,18.56
-74.59,30.91,27.44
-78.44,6.33,500.0
-95.0,2.41,48.72
-68.55,30.98,90.15
-65.23,21.49,25.47
-61.4,48.89,126.34
-63.41,58.3,62.68
-45.59,19.43,39.28
-71.01,14.74,119.33
-77.26,11.3,58.69
-94.76,7.24,31.9
-66.61,27.45,13.79
-81.85,9.9,497.61
-78.83,119.2,14.9
-61.07,215.17,9.18
-64.53,63.18,8.1
-78.73,49.98,30.0
-86.07,11.03,28.47
-76.53,35.17,26.85
-75.23,31.2,36.88
-52.25,31.53,13.76
-76.44,15.37,22.72
-54.75,78.96,6.18
-81.88,16.91,30.08
-85.86,8.04,500.0
-65.65,15.78,107.98
-75.67,15.34,21.79
-67.12,17.63,34.48
-80.91,5.87,36.49
-61.48,50.51,500.0
-58.98,33.94,500.0
-95.0,1.68,500.0
-72.0,32.78,70.69
-75.73,4.89,340.31
-86.97,12.22,24.76
-68.79,32.75,77.0
-85.43,6.89,29.0
-78.18,9.49,26.41
-73.02,18.78,23.14
-55.45,89.07,17.75
-64.24,80.39,20.38
-66.71,10.28,112.74
-56.45,24.04,40.12
-72.34,16.86,30.35
-69.15,35.17,133.37
-80.53,18.75,328.36
-83.46,19.92,43.72
-53.69,84.54,37.87
-89.99,10.24,25.05
-75.81,11.74,65.37
-59.89,14.26,180.55
-93.07,4.07,65.24
-55.78,21.32,49.52
-60.57,27.11,42.5
-80.01,48.69,16.23
-61.94,39.6,54.04
-87.01,9.83,144.85
-49.8,73.16,2.96
-67.09,24.86,24.79
-62.31,15.05,29.78
-81.2,14.28,75.78
-87.04,14.0,36.82
-66.39,17.94,31.56
-40.61,85.74,181.4
-68.26,35.98,66.58
-67.85,23.93,21.31
-59.64,72.22,28.3
-61.51,147.26,9.65
-43.02,59.78,7.28
-95.0,1.59,67.47
-75.27,4.98,60.43
-56.54,20.93,485.66
-56.01,28.62,27.05
-66.49,55.28,25.77
-55.31,31.09,28.78
-57.51,15.06,38.17
-78.59,20.32,48.33
-75.11,7.84,489.44
-72.64,6.82,238.58
-73.21,14.18,26.61
-66.96,54.08,22.79
-95.0,2.18,500.0
-83.21,28.3,25.73
-52.99,46.61,9.42
-45.35,32.27,66.77
-55.13,19.8,60.47
-95.0,0.66,77.79
-87.15,5.42,53.96
-68.58,9.11,43.3
-87.58,7.55,42.75
-61.8,123.58,3.34
-66.62,83.18,15.23
-36.08,67.61,9.47
-77.63,6.33,106.19
-67.65,95.59,12.63
-46.58,111.96,22.51
-69.5,52.75,19.97
-59.49,16.18,500.0
-86.29,3.96,43.15
-63.89,22.76,28.04
-58.56,106.42,11.11
-84.54,2.11,42.97
-84.19,18.32,52.45
-48.51,104.2,17.84
-43.53,37.78,37.37
-85.58,24.25,19.11
-80.09,27.97,24.54
-85.73,5.82,81.59
-83.7,23.16,22.92
-46.72,35.2,33.38
-68.21,82.66,13.95
-79.1,41.92,22.81
-72.59,23.72,16.95
-80.05,21.72,165.13
-52.96,44.62,12.63
-95.0,4.4,48.88
-65.25,39.0,11.82
-68.08,27.93,23.36
-64.21,16.9,23.82
-60.93,18.23,319.92
-44.79,113.65,14.59
-75.82,51.21,17.98
-51.63,84.85,37.35
-70.84,13.66,30.96
-61.64,63.13,36.48
-70.94,14.4,42.02
-62.87,47.17,31.44
-70.65,41.43,15.74
-93.01,1.47,500.0
-79.68,19.28,500.0
-86.52,10.97,496.88
-68.96,18.89,23.96
-36.42,113.97,6.74
-69.28,14.24,56.12
-74.38,11.81,500.0
-34.68,27.33,61.25
-67.63,14.22,45.37
-56.95,237.97,1.0
-71.0,15.08,158.37
-37.27,49.08,46.58
-62.89,60.69,7.52
-64.75,12.16,41.08
-68.39,37.18,16.86
-65.45,14.37,244.58
-95.0,0.7,34.51
-79.51,21.42,242.8
-74.04,31.6,64.43
-60.73,28.26,20.34
-58.53,40.09,10.15
-66.49,47.56,8.12
-69.21,104.29,12.32
-36.58,110.53,12.84
-83.34,9.11,23.89
-81.01,7.22,33.02
-59.2,28.3,14.65
-95.0,9.22,71.99
-65.74,14.69,37.66
-64.31,14.12,49.56
-62.58,38.09,13.87
-73.03,17.16,12.57
-57.28,19.26,235.79
-79.61,18.73,64.64
-70.23,22.35,28.76
-95.0,1.11,43.53
-82.32,3.54,39.18
-37.5,90.79,7.11
-95.0,5.96,24.94
-49.72,31.06,36.64
-79.85,6.19,54.23
-84.31,9.06,336.94
-79.65,30.12,27.09
-77.99,39.35,17.61
-70.89,14.5,24.18
-84.71,7.29,42.36
-64.37,50.32,83.97
-59.51,22.1,125.39
-90.19,5.82,61.84
-84.74,11.94,245.31
-49.68,115.07,17.73
-83.52,21.84,24.16
-63.29,18.71,15.69
-62.79,14.15,323.24
-68.42,19.91,32.18
-91.14,5.84,67.12
-45.73,32.36,93.09
-84.61,7.77,45.38
-67.79,19.84,24.49
-89.59,1.95,144.5
-66.98,20.34,27.04
-70.9,13.51,47.98
-68.93,70.87,15.47
-70.75,22.75,19.54
-60.68,51.24,134.53
-79.53,7.23,28.96
-74.88,31.64,43.3
-87.67,9.46,500.0
-68.91,10.48,237.24
-81.03,10.32,242.38
-87.8,0.5,339.52
-80.69,9.59,33.7
-58.51,28.75,25.32
-74.78,16.51,55.42
-59.46,20.84,25.67
-63.05,39.76,500.0
-70.2,9.12,89.0
-73.97,16.14,24.86
-70.99,53.27,24.31
-48.35,20.99,69.24
-81.17,28.53,26.42
-81.18,9.7,334.65
-58.36,20.6,64.29
-95.0,0.5,102.45
-50.85,30.3,77.81
-46.51,24.92,77.72
-84.11,4.74,500.0
-46.91,42.8,14.75
-78.63,29.04,28.21
-64.45,54.87,30.95
-42.16,61.57,11.53
-70.29,76.58,14.81
-59.42,47.02,322.12
-60.36,21.83,482.42
-73.67,32.53,14.7
-88.44,14.03,23.9
-33.46,94.77,500.0
-94.02,0.5,72.54
-70.84,10.35,138.37
-60.83,16.35,29.66
-78.17,6.35,99.92
-69.57,14.81,34.67
-67.3,12.6,500.0
-64.26,18.84,34.42
-78.44,19.52,27.61
-40.9,148.05,3.98
-49.59,73.77,500.0
-33.76,104.82,123.4
-64.42,38.62,10.26
-45.44,29.35,39.5
-76.98,44.45,9.39
-92.82,5.5,141.61
-70.62,41.97,32.12
-46.14,34.63,23.53
-60.8,30.6,17.05
-59.84,50.7,4.69
-77.14,6.04,117.23
-33.56,149.0,16.62
-82.52,0.5,53.19
-74.59,10.06,241.86
-85.2,14.5,50.74
-78.33,20.69,31.15
-75.14,13.25,32.0
-72.64,4.54,61.25
-72.39,31.56,45.9
-79.45,13.97,18.67
-95.0,0.5,39.27
-72.44,21.85,18.97
-63.53,15.8,500.0
-64.16,44.26,6.46
-82.28,8.54,28.44
-95.0,4.51,36.71
